"batch_id","lesson_number","lesson_id","lesson_title","segment_id","segment_type","planned_audio_filename","planned_audio_asset_path","human_master_filename_example","human_import_filename_example","human_retake_filename_example","workflow_status"
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_001","opening","l08_ord_001_normal.mp3","lesson_08/voiceover/l08_ord_001_normal.mp3","l08_ord_001_normal__human__20260321-batch-b.wav","l08_ord_001_normal__human__20260321-batch-b.mp3","l08_ord_001_normal__human__20260321-batch-b-retake01.wav","TO_RECORD"
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_002","opening","l08_ord_002_normal.mp3","lesson_08/voiceover/l08_ord_002_normal.mp3","l08_ord_002_normal__human__20260321-batch-b.wav","l08_ord_002_normal__human__20260321-batch-b.mp3","l08_ord_002_normal__human__20260321-batch-b-retake01.wav","TO_RECORD"
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_003","opening","l08_ord_003_normal.mp3","lesson_08/voiceover/l08_ord_003_normal.mp3","l08_ord_003_normal__human__20260321-batch-b.wav","l08_ord_003_normal__human__20260321-batch-b.mp3","l08_ord_003_normal__human__20260321-batch-b-retake01.wav","TO_RECORD"
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_004","section_header","l08_ord_004_normal.mp3","lesson_08/voiceover/l08_ord_004_normal.mp3","l08_ord_004_normal__human__20260321-batch-b.wav","l08_ord_004_normal__human__20260321-batch-b.mp3","l08_ord_004_normal__human__20260321-batch-b-retake01.wav","TO_RECORD"
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_005","teaching_narration","l08_ord_005_normal.mp3","lesson_08/voiceover/l08_ord_005_normal.mp3","l08_ord_005_normal__human__20260321-batch-b.wav","l08_ord_005_normal__human__20260321-batch-b.mp3","l08_ord_005_normal__human__20260321-batch-b-retake01.wav","TO_RECORD"
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_006","section_header","l08_ord_006_normal.mp3","lesson_08/voiceover/l08_ord_006_normal.mp3","l08_ord_006_normal__human__20260321-batch-b.wav","l08_ord_006_normal__human__20260321-batch-b.mp3","l08_ord_006_normal__human__20260321-batch-b-retake01.wav","TO_RECORD"
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_007","teaching_narration","l08_ord_007_normal.mp3","lesson_08/voiceover/l08_ord_007_normal.mp3","l08_ord_007_normal__human__20260321-batch-b.wav","l08_ord_007_normal__human__20260321-batch-b.mp3","l08_ord_007_normal__human__20260321-batch-b-retake01.wav","TO_RECORD"
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_008","section_header","l08_ord_008_normal.mp3","lesson_08/voiceover/l08_ord_008_normal.mp3","l08_ord_008_normal__human__20260321-batch-b.wav","l08_ord_008_normal__human__20260321-batch-b.mp3","l08_ord_008_normal__human__20260321-batch-b-retake01.wav","TO_RECORD"
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_009","teaching_narration","l08_ord_009_normal.mp3","lesson_08/voiceover/l08_ord_009_normal.mp3","l08_ord_009_normal__human__20260321-batch-b.wav","l08_ord_009_normal__human__20260321-batch-b.mp3","l08_ord_009_normal__human__20260321-batch-b-retake01.wav","TO_RECORD"
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_010","section_header","l08_ord_010_normal.mp3","lesson_08/voiceover/l08_ord_010_normal.mp3","l08_ord_010_normal__human__20260321-batch-b.wav","l08_ord_010_normal__human__20260321-batch-b.mp3","l08_ord_010_normal__human__20260321-batch-b-retake01.wav","TO_RECORD"
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_011","teaching_narration","l08_ord_011_normal.mp3","lesson_08/voiceover/l08_ord_011_normal.mp3","l08_ord_011_normal__human__20260321-batch-b.wav","l08_ord_011_normal__human__20260321-batch-b.mp3","l08_ord_011_normal__human__20260321-batch-b-retake01.wav","TO_RECORD"
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_012","instruction_prompt","l08_ord_012_normal.mp3","lesson_08/voiceover/l08_ord_012_normal.mp3","l08_ord_012_normal__human__20260321-batch-b.wav","l08_ord_012_normal__human__20260321-batch-b.mp3","l08_ord_012_normal__human__20260321-batch-b-retake01.wav","TO_RECORD"
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_013","instruction_prompt","l08_ord_013_normal.mp3","lesson_08/voiceover/l08_ord_013_normal.mp3","l08_ord_013_normal__human__20260321-batch-b.wav","l08_ord_013_normal__human__20260321-batch-b.mp3","l08_ord_013_normal__human__20260321-batch-b-retake01.wav","TO_RECORD"
