"batch_id","lesson_number","lesson_id","lesson_title","segment_id","segment_type","row_kind","planned_audio_filename","planned_audio_asset_path","target_duration_sec","repeatability","workflow_status","delivery_note","spoken_script","script_text_ar","script_text_support","recorder_notes","qc_notes"
"BATCH_B","05","lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_SEG_001","opening","NARRATION_SEGMENT","l05_ord_001_normal.mp3","lesson_05/voiceover/l05_ord_001_normal.mp3","4","REPEATABLE","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","One More Real Word: قلم","قلم","One More Real Word: قلم","",""
"BATCH_B","05","lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_SEG_002","opening","NARRATION_SEGMENT","l05_ord_002_normal.mp3","lesson_05/voiceover/l05_ord_002_normal.mp3","7","ONE_PASS","TO_RECORD","Steady overview line. Keep the English flowing and slow slightly around Arabic inserts.","After this lesson, you can recognize, hear, recall, and say قلم for pen.","قلم","After this lesson, you can recognize, hear, recall, and say قلم for pen.","",""
"BATCH_B","05","lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_SEG_003","opening","NARRATION_SEGMENT","l05_ord_003_normal.mp3","lesson_05/voiceover/l05_ord_003_normal.mp3","6","REPEATABLE","TO_RECORD","Steady overview line. Keep the English flowing and slow slightly around Arabic inserts.","Recognize and recall قلم as the Arabic word for pen.","قلم","Recognize and recall قلم as the Arabic word for pen.","",""
"BATCH_B","05","lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_SEG_004","section_header","NARRATION_SEGMENT","l05_ord_004_normal.mp3","lesson_05/voiceover/l05_ord_004_normal.mp3","3","ONE_PASS","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","Lesson Goal","","Lesson Goal","",""
"BATCH_B","05","lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_SEG_005","teaching_narration","NARRATION_SEGMENT","l05_ord_005_normal.mp3","lesson_05/voiceover/l05_ord_005_normal.mp3","5","REPEATABLE","TO_RECORD","Teaching line. Warm and clear. Slow slightly around the Arabic and return to the base pace after it.","Add one more real Arabic word to your pack: قلم = pen.","قلم","Add one more real Arabic word to your pack: قلم = pen.","",""
"BATCH_B","05","lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_SEG_006","section_header","NARRATION_SEGMENT","l05_ord_006_normal.mp3","lesson_05/voiceover/l05_ord_006_normal.mp3","3","ONE_PASS","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","One More Real Word","","One More Real Word","",""
"BATCH_B","05","lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_SEG_007","teaching_narration","NARRATION_SEGMENT","l05_ord_007_normal.mp3","lesson_05/voiceover/l05_ord_007_normal.mp3","6","ONE_PASS","TO_RECORD","Teaching line. Warm and clear. Slow slightly around the Arabic and return to the base pace after it.","Meet قلم as one more useful Arabic word. Keep the whole shape, sound, and meaning together.","قلم","Meet قلم as one more useful Arabic word. Keep the whole shape, sound, and meaning together.","",""
"BATCH_B","05","lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_SEG_008","section_header","NARRATION_SEGMENT","l05_ord_008_normal.mp3","lesson_05/voiceover/l05_ord_008_normal.mp3","3","ONE_PASS","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","Your Pack Is Growing","","Your Pack Is Growing","",""
"BATCH_B","05","lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_SEG_009","teaching_narration","NARRATION_SEGMENT","l05_ord_009_normal.mp3","lesson_05/voiceover/l05_ord_009_normal.mp3","7","ONE_PASS","TO_RECORD","Teaching line. Warm and clear. Slow slightly around the Arabic and return to the base pace after it.","كتاب and باب stay nearby as safe anchors, but this lesson is really about owning قلم as your next real word.","كتاب باب قلم","كتاب and باب stay nearby as safe anchors, but this lesson is really about owning قلم as your next real word.","",""
"BATCH_B","05","lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_SEG_010","section_header","NARRATION_SEGMENT","l05_ord_010_normal.mp3","lesson_05/voiceover/l05_ord_010_normal.mp3","3","ONE_PASS","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","See It In The Pack","","See It In The Pack","",""
"BATCH_B","05","lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_SEG_011","teaching_narration","NARRATION_SEGMENT","l05_ord_011_normal.mp3","lesson_05/voiceover/l05_ord_011_normal.mp3","7","ONE_PASS","TO_RECORD","Teaching line. Warm and clear. Slow slightly around the Arabic and return to the base pace after it.","Use whole-word contrast only. قلم should feel like another real item in the pack, not a return to isolated script study.","قلم","Use whole-word contrast only. قلم should feel like another real item in the pack, not a return to isolated script study.","",""
"BATCH_B","05","lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_SEG_012","instruction_prompt","NARRATION_SEGMENT","l05_ord_012_normal.mp3","lesson_05/voiceover/l05_ord_012_normal.mp3","5","REPEATABLE","TO_RECORD","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","In this lesson, قلم means...","قلم","In this lesson, قلم means...","",""
"BATCH_B","05","lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_SEG_013","instruction_prompt","NARRATION_SEGMENT","l05_ord_013_normal.mp3","lesson_05/voiceover/l05_ord_013_normal.mp3","5","REPEATABLE","TO_RECORD","Instructional prompt. Keep the action verb crisp and allow a short answer pause at the end.","Which Arabic word means pen?","","Which Arabic word means pen?","",""
"BATCH_B","05","lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_SEG_014","instruction_prompt","NARRATION_SEGMENT","l05_ord_014_normal.mp3","lesson_05/voiceover/l05_ord_014_normal.mp3","5","REPEATABLE","TO_RECORD","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","Listen, then tap قلم.","قلم","Listen, then tap قلم.","",""
"BATCH_B","05","lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_SEG_015","instruction_prompt","NARRATION_SEGMENT","l05_ord_015_normal.mp3","lesson_05/voiceover/l05_ord_015_normal.mp3","5","REPEATABLE","TO_RECORD","Instructional prompt. Keep the action verb crisp and allow a short answer pause at the end.","You mean pen. Recall the Arabic word from memory.","","You mean pen. Recall the Arabic word from memory.","",""
"BATCH_B","05","lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_SEG_016","instruction_prompt","NARRATION_SEGMENT","l05_ord_016_normal.mp3","lesson_05/voiceover/l05_ord_016_normal.mp3","6","REPEATABLE","TO_RECORD","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","See pen, say قلم once, then type it to lock it in.","قلم","See pen, say قلم once, then type it to lock it in.","",""
"BATCH_B","05","lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_AR_001","word","ARABIC_ASSET","l05_ar_001_normal.mp3","lesson_05/voiceover/l05_ar_001_normal.mp3","3","REPEATABLE","TO_RECORD","Single Arabic word. Neutral model, one clean pronunciation, no extra sentence melody.","قلم","قلم","display=قلم ; transliteration=qalam ; meaning=pen","",""
"BATCH_B","05","lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_AR_002","list","ARABIC_ASSET","l05_ar_002_normal.mp3","lesson_05/voiceover/l05_ar_002_normal.mp3","5","REPEATABLE","TO_RECORD","Arabic list, not a sentence. Give each item its own beat and keep the order clean.","كتاب / باب / قلم","كتاب / باب / قلم","display=كتاب / باب / قلم","",""
