"batch_id","lesson_number","lesson_id","lesson_title","segment_id","segment_type","planned_audio_filename","planned_audio_asset_path","human_master_filename_example","human_import_filename_example","human_retake_filename_example","workflow_status"
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_001","opening","l02_ord_001_normal.mp3","lesson_02/voiceover/l02_ord_001_normal.mp3","l02_ord_001_normal__human__20260321-batch-a.wav","l02_ord_001_normal__human__20260321-batch-a.mp3","l02_ord_001_normal__human__20260321-batch-a-retake01.wav","TO_RECORD"
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_002","opening","l02_ord_002_normal.mp3","lesson_02/voiceover/l02_ord_002_normal.mp3","l02_ord_002_normal__human__20260321-batch-a.wav","l02_ord_002_normal__human__20260321-batch-a.mp3","l02_ord_002_normal__human__20260321-batch-a-retake01.wav","TO_RECORD"
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_003","opening","l02_ord_003_normal.mp3","lesson_02/voiceover/l02_ord_003_normal.mp3","l02_ord_003_normal__human__20260321-batch-a.wav","l02_ord_003_normal__human__20260321-batch-a.mp3","l02_ord_003_normal__human__20260321-batch-a-retake01.wav","TO_RECORD"
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_004","section_header","l02_ord_004_normal.mp3","lesson_02/voiceover/l02_ord_004_normal.mp3","l02_ord_004_normal__human__20260321-batch-a.wav","l02_ord_004_normal__human__20260321-batch-a.mp3","l02_ord_004_normal__human__20260321-batch-a-retake01.wav","TO_RECORD"
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_005","teaching_narration","l02_ord_005_normal.mp3","lesson_02/voiceover/l02_ord_005_normal.mp3","l02_ord_005_normal__human__20260321-batch-a.wav","l02_ord_005_normal__human__20260321-batch-a.mp3","l02_ord_005_normal__human__20260321-batch-a-retake01.wav","TO_RECORD"
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_006","section_header","l02_ord_006_normal.mp3","lesson_02/voiceover/l02_ord_006_normal.mp3","l02_ord_006_normal__human__20260321-batch-a.wav","l02_ord_006_normal__human__20260321-batch-a.mp3","l02_ord_006_normal__human__20260321-batch-a-retake01.wav","TO_RECORD"
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_007","teaching_narration","l02_ord_007_normal.mp3","lesson_02/voiceover/l02_ord_007_normal.mp3","l02_ord_007_normal__human__20260321-batch-a.wav","l02_ord_007_normal__human__20260321-batch-a.mp3","l02_ord_007_normal__human__20260321-batch-a-retake01.wav","TO_RECORD"
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_008","section_header","l02_ord_008_normal.mp3","lesson_02/voiceover/l02_ord_008_normal.mp3","l02_ord_008_normal__human__20260321-batch-a.wav","l02_ord_008_normal__human__20260321-batch-a.mp3","l02_ord_008_normal__human__20260321-batch-a-retake01.wav","TO_RECORD"
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_009","teaching_narration","l02_ord_009_normal.mp3","lesson_02/voiceover/l02_ord_009_normal.mp3","l02_ord_009_normal__human__20260321-batch-a.wav","l02_ord_009_normal__human__20260321-batch-a.mp3","l02_ord_009_normal__human__20260321-batch-a-retake01.wav","TO_RECORD"
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_010","section_header","l02_ord_010_normal.mp3","lesson_02/voiceover/l02_ord_010_normal.mp3","l02_ord_010_normal__human__20260321-batch-a.wav","l02_ord_010_normal__human__20260321-batch-a.mp3","l02_ord_010_normal__human__20260321-batch-a-retake01.wav","TO_RECORD"
