"batch_id","lesson_number","lesson_id","lesson_title","segment_id","segment_type","row_kind","planned_audio_filename","planned_audio_asset_path","target_duration_sec","repeatability","workflow_status","delivery_note","spoken_script","script_text_ar","script_text_support","recorder_notes","qc_notes"
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_001","opening","NARRATION_SEGMENT","l08_ord_001_normal.mp3","lesson_08/voiceover/l08_ord_001_normal.mp3","3","ONE_PASS","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","Your First Usable Arabic Pack","","Your First Usable Arabic Pack","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_002","opening","NARRATION_SEGMENT","l08_ord_002_normal.mp3","lesson_08/voiceover/l08_ord_002_normal.mp3","7","ONE_PASS","TO_RECORD","Steady overview line. Keep the English flowing and slow slightly around Arabic inserts.","After this lesson, you can handle كتاب, باب, قلم, هذا كتاب, and هذا قلم as one small usable Arabic pack.","كتاب باب قلم هذا كتاب هذا قلم","After this lesson, you can handle كتاب, باب, قلم, هذا كتاب, and هذا قلم as one small usable Arabic pack.","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_003","opening","NARRATION_SEGMENT","l08_ord_003_normal.mp3","lesson_08/voiceover/l08_ord_003_normal.mp3","6","ONE_PASS","TO_RECORD","Steady overview line. Keep it calm, clear, and lightly encouraging.","Stabilize one tiny Arabic pack across reading, listening, recall, and short output.","","Stabilize one tiny Arabic pack across reading, listening, recall, and short output.","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_004","section_header","NARRATION_SEGMENT","l08_ord_004_normal.mp3","lesson_08/voiceover/l08_ord_004_normal.mp3","3","ONE_PASS","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","Lesson Goal","","Lesson Goal","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_005","teaching_narration","NARRATION_SEGMENT","l08_ord_005_normal.mp3","lesson_08/voiceover/l08_ord_005_normal.mp3","5","ONE_PASS","TO_RECORD","Teaching line. Warm, calm, and conversational with one clear sentence boundary.","Finish Stage B by using one small Arabic pack across more than one channel.","","Finish Stage B by using one small Arabic pack across more than one channel.","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_006","section_header","NARRATION_SEGMENT","l08_ord_006_normal.mp3","lesson_08/voiceover/l08_ord_006_normal.mp3","3","ONE_PASS","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","Your First Pack","","Your First Pack","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_007","teaching_narration","NARRATION_SEGMENT","l08_ord_007_normal.mp3","lesson_08/voiceover/l08_ord_007_normal.mp3","6","ONE_PASS","TO_RECORD","Teaching line. Warm, calm, and conversational with one clear sentence boundary.","These items now belong together as one small Arabic pack you can read, hear, recall, and say.","","These items now belong together as one small Arabic pack you can read, hear, recall, and say.","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_008","section_header","NARRATION_SEGMENT","l08_ord_008_normal.mp3","lesson_08/voiceover/l08_ord_008_normal.mp3","3","ONE_PASS","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","More Than Review","","More Than Review","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_009","teaching_narration","NARRATION_SEGMENT","l08_ord_009_normal.mp3","lesson_08/voiceover/l08_ord_009_normal.mp3","6","ONE_PASS","TO_RECORD","Teaching line. Warm, calm, and conversational with one clear sentence boundary.","This is not a bland recap. The point is that your early Arabic now works across reading, listening, recall, and one short output step.","","This is not a bland recap. The point is that your early Arabic now works across reading, listening, recall, and one short output step.","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_010","section_header","NARRATION_SEGMENT","l08_ord_010_normal.mp3","lesson_08/voiceover/l08_ord_010_normal.mp3","3","ONE_PASS","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","Word Or Line?","","Word Or Line?","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_011","teaching_narration","NARRATION_SEGMENT","l08_ord_011_normal.mp3","lesson_08/voiceover/l08_ord_011_normal.mp3","6","ONE_PASS","TO_RECORD","Teaching line. Warm, calm, and conversational with one clear sentence boundary.","Keep noticing the difference between a word on its own and a tiny line that uses it.","","Keep noticing the difference between a word on its own and a tiny line that uses it.","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_012","instruction_prompt","NARRATION_SEGMENT","l08_ord_012_normal.mp3","lesson_08/voiceover/l08_ord_012_normal.mp3","5","REPEATABLE","TO_RECORD","Instructional prompt. Keep the action verb crisp and allow a short answer pause at the end.","Which Arabic word in your pack means pen?","","Which Arabic word in your pack means pen?","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_013","instruction_prompt","NARRATION_SEGMENT","l08_ord_013_normal.mp3","lesson_08/voiceover/l08_ord_013_normal.mp3","5","REPEATABLE","TO_RECORD","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","Listen first, then tap هذا قلم.","هذا قلم","Listen first, then tap هذا قلم.","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_014","instruction_prompt","NARRATION_SEGMENT","l08_ord_014_normal.mp3","lesson_08/voiceover/l08_ord_014_normal.mp3","5","REPEATABLE","TO_RECORD","Instructional prompt. Keep the action verb crisp and allow a short answer pause at the end.","Which item is the full line this is a pen?","","Which item is the full line this is a pen?","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_015","instruction_prompt","NARRATION_SEGMENT","l08_ord_015_normal.mp3","lesson_08/voiceover/l08_ord_015_normal.mp3","5","REPEATABLE","TO_RECORD","Instructional prompt. Keep the action verb crisp and allow a short answer pause at the end.","You mean pen. Recall the Arabic word from your pack.","","You mean pen. Recall the Arabic word from your pack.","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_016","instruction_prompt","NARRATION_SEGMENT","l08_ord_016_normal.mp3","lesson_08/voiceover/l08_ord_016_normal.mp3","5","REPEATABLE","TO_RECORD","Instructional prompt. Keep the action verb crisp and allow a short answer pause at the end.","Build the line for this is a book.","","Build the line for this is a book.","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_SEG_017","instruction_prompt","NARRATION_SEGMENT","l08_ord_017_normal.mp3","lesson_08/voiceover/l08_ord_017_normal.mp3","5","REPEATABLE","TO_RECORD","Instructional prompt. Keep the action verb crisp and allow a short answer pause at the end.","Finish Stage B by saying one full line, then type it.","","Finish Stage B by saying one full line, then type it.","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_AR_001","list","ARABIC_ASSET","l08_ar_001_normal.mp3","lesson_08/voiceover/l08_ar_001_normal.mp3","6","REPEATABLE","TO_RECORD","Arabic list, not a sentence. Give each item its own beat and keep the order clean. Preserve the source spoken-versus-display split exactly as written. Spoken text follows audioQueryText; display text preserves on-screen form.","كتاب باب قلم هذا كتاب هذا قلم","كتاب باب قلم هذا كتاب هذا قلم","display=كتاب
باب
قلم
هذا كتاب
هذا قلم ; meaning=book / door / pen / this is a book / this is a pen ; notes=Spoken text follows audioQueryText; display text preserves on-screen form.","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_AR_002","list","ARABIC_ASSET","l08_ar_002_normal.mp3","lesson_08/voiceover/l08_ar_002_normal.mp3","5","REPEATABLE","TO_RECORD","Arabic list, not a sentence. Give each item its own beat and keep the order clean.","قلم / هذا قلم","قلم / هذا قلم","display=قلم / هذا قلم","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_AR_003","word","ARABIC_ASSET","l08_ar_003_normal.mp3","lesson_08/voiceover/l08_ar_003_normal.mp3","3","REPEATABLE","TO_RECORD","Single Arabic word. Neutral model, one clean pronunciation, no extra sentence melody.","قلم","قلم","display=قلم ; meaning=pen","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_AR_004","short_phrase","ARABIC_ASSET","l08_ar_004_normal.mp3","lesson_08/voiceover/l08_ar_004_normal.mp3","3","REPEATABLE","TO_RECORD","Short Arabic phrase. Keep the word boundary clear and easy to repeat once.","هذا قلم","هذا قلم","display=هذا قلم ; meaning=this is a pen","",""
"BATCH_B","08","lesson_08_first_usable_arabic_pack","Your First Usable Arabic Pack","L08_AR_005","build_artifact","ARABIC_ASSET","l08_ar_005_normal.mp3","lesson_08/voiceover/l08_ar_005_normal.mp3","3","ONE_PASS","TO_RECORD","Build artifact, not natural continuous speech. Keep it out of blind TTS export until confirmed. Hold from automatic export until scope is confirmed.","هذا كتاب","هذا كتاب","display=هذا كتاب ; meaning=this is a book","",""
